code	dhatu	artha
01.2390	Kalla~\	viloqane
01.2391	lula~^	gatO
01.2392	palla~	gatO
01.2393	sala~	gatO
01.2394	SAla~\	dIptO
01.2395	sPala~	viloqane
01.2396	sTala~	
01.2397	tala~	
01.2398	vehla~	
01.2399	danva~	gatO
01.2400	Danva~^	kzaraRe
01.2401	dinva~	
01.2402	DUrva~	hiMsAyAm
01.2403	jinva~^	gatO
01.2404	jUrva~	BakzaRe
01.2405	klava~\	Baye
01.2406	Parva~	gatO
01.2407	pava~\	gatO
01.2408	pinva~^	sTOlye
01.2409	plava~\	gatO
01.2410	raRva~	gatO
01.2411	riRva~	gatO
01.2412	rIva~^	grahaRe
01.2413	seva~\	stamBe
01.2414	Tarva~	gatO
01.2415	Urva~	hiMsAyAm
01.2416	zWIva~	
01.2417	beSa~	gatO
01.2418	BfMSa~	BAzAyAm
01.2419	biSa~	gatO
01.2420	BraSi~^	patane
01.2421	kaSa~	gatO
01.2422	kraMSa~	
01.2423	kuMSa~	BAzAyAm
01.2424	naMSa~^	vyAptO
01.2425	naSa~^	vyAptO
01.2426	naSa~	kzaye
01.2427	paMSa~	Bedane
01.2428	ruMSa~	BAzAyAm
01.2429	tuSa~\	kzaraRe
01.2430	tuSa~	tfptO
01.2431	vaSa~	
01.2432	anviza~	
01.2433	Bfkza~^	BakzaRe
01.2434	Dfza~	
01.2435	DIkza~\	
01.2436	drANkza~	BAzAyAm
01.2437	DvANkza~	BAzAyAm
01.2438	fza~	gatO
01.2439	GaMza~\	
01.2440	gaveza~\	
01.2441	iza~^	
01.2442	jaNkza~	
01.2443	juza~^	
01.2444	JUza~	
01.2445	kANkza~^	prayatne
01.2446	lakza~^	jYAne
01.2447	luza~	steye
01.2448	mANkza~	
01.2449	mokza~\	
01.2450	myakza~	
01.2451	paza~^	gatO
01.2452	sakza~	gatO
01.2453	sAkza~	
01.2454	sparza~\	darSane
01.2455	stfkza~	gatO
01.2456	sUza~	
01.2457	vANkza~	
01.2458	yakza~^	pUjAyAm
01.2459	Bartsa~	
01.2460	BrAsa~^	dIptO
01.2461	cakAsa~\	dIptO
01.2462	daMsa~	
01.2463	daMsa~	Bedane
01.2464	dasa~	
01.2465	hiMsa~	hiMsAyAm
01.2466	jaMsa~	rakzaRe
01.2467	jartsa~	rakzaRe
01.2468	jasa~^	
01.2469	kAMsa~\	dIptO
01.2470	knaMsa~	
01.2471	kuMsa~	BAzAyAm
01.2472	kutsa~	anAdare
01.2473	paMsa~	Bedane
01.2474	pasa~^	banDane
01.2475	piMsa~	BAzAyAm
01.2476	saMyasa~	karaRe
01.2477	srasi~\	patane
01.2478	taMsa~^	gatO
01.2479	traMsa~	BAzAyAm
01.2480	trasa~	kampane
01.2481	vrUsa~	hiMsAyAm
01.2482	aMha~\	gatO
01.2483	baMha~\	vfdDO
01.2484	beha~^	karaRe
01.2485	bfMha~	vfdDO
01.2486	bfMha~^	Sabde
01.2487	dfMha~^	karaRe
01.2488	luha~	
01.2489	maMha~\	dAne
01.2490	raMha~^	
01.2491	saha~\	
01.2492	saMvaha~^	grahaRe
01.2493	sniha~	
01.2494	sraMha~\	
01.2495	heLa~^	karaRe
01.2496	reLa~\	
02.2000	DA	
02.2001	DrA	gatO
02.2002	gA^	gatO
02.2003	GrA	jYAne
02.2004	snA	karaRe
02.2005	kzi	
02.2006	pi\	vfdDO
02.2007	anvatI	
02.2008	atI	
02.2009	pI\	vfdDO
02.2010	snu	
02.2011	stu^	stutO
02.2012	su	preraRe
02.2013	u\	
02.2014	DU\	
02.2015	kU	gatO
02.2016	nU	Sabde
02.2017	sU\	DAraRe
02.2018	Bf^	
02.2019	kf^	karaRe
02.2020	dF^	
02.2021	anUde	gatO
02.2022	anvave	
02.2023	anve	gatO
02.2024	pre^	gatO
02.2025	drE	
02.2026	DrE	
02.2027	DyE^	cintAyAm
02.2028	gE	BAzAyAm
02.2029	glE^	karaRe
02.2030	SrE	
02.2031	do^	
02.2032	taka~	
02.2033	pfYja~\	
02.2034	piYja~\	
02.2035	SiYja~\	BAzAyAm
02.2036	cita~\	grahaRe
02.2037	fDa~	
02.2038	jana~\	
02.2039	svapa~	patane
02.2040	gama~	gatO
02.2041	kzama~	
02.2042	kzara~	kzaraRe
02.2043	dASa~	pUjAyAm
02.2044	takza~	
02.2045	jAtavedasa~	
02.2046	kaMsa~\	gatO
02.2047	rAsa~^	dAne
02.2048	sasa~	
02.2049	riha~^	snehane
03.2000	GrA^	jYAne
03.2001	jYA^	jYAne
03.2002	pA\	darSane
03.2003	ci\	jYAne
03.2004	pi^	vfdDO
03.2005	Si	dAne
03.2006	dI^	dIptO
03.2007	DI\	
03.2008	pI^	vfdDO
03.2009	yu^	viBAge
03.2010	anvf^	
03.2011	kf^	BAzAyAm
03.2012	tF	
03.2013	gE	BAzAyAm
03.2014	So^	
03.2015	pfca~^	saNGAte
03.2016	vaca~^	BAzAyAm
03.2017	vyaca~	vezwane
03.2018	cita~^	grahaRe
03.2019	mada~^	prIRane
03.2020	gama~	gatO
03.2021	diSa~	
03.2022	vaSa~	
03.2023	juza~	
04.2000	dA	banDane
04.2001	DA^	
04.2002	jyA\	
04.2003	snA^	karaRe
04.2004	SrA	
04.2005	ri^	gatO
04.2006	SI\	patane
04.2007	vI^	gatO
04.2008	du\	
04.2009	SrE	
04.2010	aDyavaso	
04.2011	so	hiMsAyAm
04.2012	naKa~	gatO
04.2013	naNKa~	gatO
04.2014	mfga~	
04.2015	daGa~	patane
04.2016	mfca~	hiMsAyAm
04.2017	paca~\	pAke
04.2018	rica~\	
04.2019	fYja~^	karaRe
04.2020	raji~^	darSane
04.2021	kuwa~	kOwilye
04.2022	truwa~\	Cedane
04.2023	kzviqa~	ArdrIBAve
04.2024	raRa~	grahaRe
04.2025	mrita~	vayohAnO
04.2026	pata~\	pAlane
04.2027	minda~	vfdDO
04.2028	banDa~^	banDane
04.2029	gaDa~	
04.2030	ranDa~	
04.2031	sADa~^	
04.2032	siDa~	
04.2033	SunDa~^	
04.2034	rana~	grahaRe
04.2035	tana~	Sabde
04.2036	qimpa~	kzepe
04.2037	stUpa~	
04.2038	qimBa~	kzepe
04.2039	krama~^	gatO
04.2040	Sima~	Cedane
04.2041	stIma~	
04.2042	Ara~	stutO
04.2043	gura~	karaRe
04.2044	jura~	vayohAnO
04.2045	tura~\	
04.2046	SUla~^	Sabde
04.2047	kziva~	
04.2048	siva~	saNGAte
04.2049	srIva~	
04.2050	zWIva~	
04.2051	BlASa~\	dIptO
04.2052	BraSi~^	patane
04.2053	BrASa~\	dIptO
04.2054	laza~^	
04.2055	pruza~	secane
04.2056	BrAsa~\	dIptO
04.2057	kutsa~	anAdare
04.2058	misa~	gatO
04.2059	pisa~	
04.2060	plusa~	dAhe
04.2061	snusa~	BakzaRe
04.2062	dfhi~^	karaRe
04.2063	dfMha~^	karaRe
04.2064	duha~\	
04.2065	saha~	prIRane
04.2066	sniha~	
04.2067	snuha~	
05.2000	Di	pAlane
05.2001	si	banDane
05.2002	dru	hiMsAyAm
05.2003	sku^	
05.2004	Sru^	dAne
05.2005	su^	karaRe
05.2006	u	
05.2007	drU	kzepe
05.2008	dU	
05.2009	f^	gatO
05.2010	Gf	dIptO
05.2011	kF	hiMsAyAm
05.2012	stF^	
05.2013	tF	
05.2014	caGa~	hiMsAyAm
05.2015	saGa~	grahaRe
05.2016	stiGa~^	
05.2017	tiGa~	hiMsAyAm
05.2018	daBa~\	hiMsAyAm
05.2019	damBa~\	hiMsAyAm
05.2020	kzuBa~	viloqane
05.2021	skaBa~	
05.2022	skamBa~	
05.2023	skumBa~	grahaRe
05.2024	staBa~	DAraRe
05.2025	stamBa~	DAraRe
05.2026	stumBa~	stamBe
05.2027	Dinva~	pAlane
05.2028	anvaSa~^	gatO
05.2029	akza~^	vyAptO
05.2030	pruza~^	secane
05.2031	takza~\	
05.2032	dAsa~	hiMsAyAm
06.2000	tOdAdika	
06.2001	nu^	Sabde
06.2002	yu	
06.2003	sU^	
06.2004	pF	
06.2005	tF^	
06.2006	riKa~	gatO
06.2007	uNKa~	gatO
06.2008	sici~^	secane
06.2009	vraSca~	Cedane
06.2010	mfCa~\	kzaye
06.2011	piCa~	viBAge
06.2012	uYCa~	uYCe
06.2013	Brajja~^	SozaRe
06.2014	fYja~^	karaRe
06.2015	kuja~	steye
06.2016	lajja~\	
06.2017	majja~	gatO
06.2018	marja~	Sabde
06.2019	mfja~^	
06.2020	naja~\	
06.2021	tuji~^	hiMsAyAm
06.2022	cuRwa~	Cedane
06.2023	Bruqa~	saMvaraRe
06.2024	buqa~	saMvaraRe
06.2025	cuRqa~	Cedane
06.2026	druqa~	kzaye
06.2027	Guqa~	rakzaRe
06.2028	kUqa~	BakzaRe
06.2029	luqa~	gatO
06.2030	nuqa~	hiMsAyAm
06.2031	cuRa~	Cedane
06.2032	arda~	gatO
06.2033	fDada~	
06.2034	Kada~	
06.2035	Kuda~	
06.2036	sada~	
06.2037	udi~^	kzaraRe
06.2038	unda~^	kzaraRe
06.2039	anvfDa~	DAraRe
06.2040	fDa~	
06.2041	mfDa~^	varjane
06.2042	cupa~	
06.2043	kfpa~\	
06.2044	kzupa~	
06.2045	qimpa~	kzepe
06.2046	tfmpa~	darSane
06.2047	tumpa~	hiMsAyAm
06.2048	fmPa~	hiMsAyAm
06.2049	gumPa~	banDane
06.2050	rimPa~	hiMsAyAm
06.2051	tfmPa~	
06.2052	tumPa~	hiMsAyAm
06.2053	kumba~	saMvaraRe
06.2054	qimBa~	kzepe
06.2055	SumBa~^	dIptO
06.2056	ira~	gatO
06.2057	jura~^	vayohAnO
06.2058	tura~\	
06.2059	pula~	
06.2060	sila~	uYCe
06.2061	inva~	
06.2062	BfSa~	patane
06.2063	daMSa~\	
06.2064	kuza~	
06.2065	muza~	grahaRe
06.2066	Suza~	darSane
06.2067	jAtavedasa~	
06.2068	vasa~	dIptO
06.2069	duha~^	
06.2070	stFha~	hiMsAyAm
07.2000	tvaYci~r	gatO
07.2001	fYji~\r	karaRe
07.2002	ardi~r	gatO
07.2003	udi~r	kzaraRe
07.2004	fDi~r	
07.2005	hiMsi~^r	hiMsAyAm
08.2000	Gf^	dIptO
08.2001	olaRqa~	kzepe
08.2002	GaRa~^	
08.2003	vfRa~^	BakzaRe
08.2004	sana~^	AsvAdane
08.2005	inva~	
09.2000	jinana	
09.2001	ji\	darSane
09.2002	jri	vfdDO
09.2003	kzi^	hiMsAyAm
09.2004	ri	gatO
09.2005	si^	banDane
09.2006	jrI	vfdDO
09.2007	lpI	saNGAte
09.2008	lvI	gatO
09.2009	lyI	saNGAte
09.2010	hru	darSane
09.2011	knu^	Sabde
09.2012	jU	
09.2013	kU^	gatO
09.2014	hf\	
09.2015	pf	rakzaRe
09.2016	stf^	
09.2017	hF\	
09.2018	sF	hiMsAyAm
09.2019	spF	hiMsAyAm
09.2020	hewa~	
09.2021	heQa~	
09.2022	graTa~	banDane
09.2023	maTa~^	viloqane
09.2024	SraTa~^	
09.2025	Cida~\	Cedane
09.2026	skaBa~	
09.2027	skamBa~	
09.2028	skumBa~	grahaRe
09.2029	staBa~	DAraRe
09.2030	stamBa~	DAraRe
09.2031	stumBa~	stamBe
09.2032	uBa~	saMvaraRe
09.2033	dama~\	
09.2034	Sama~	prayatne
09.2035	inva~^	
09.2036	uza~	dAhe
09.2037	uDrasa~	uYCe
10.2000	sAmaya	darSane
10.2001	BI^	Baye
10.2002	jrI	vfdDO
10.2003	sf^	
10.2004	gF\	jYAne
10.2005	kF\	jYAne
10.2006	cikka~	
10.2007	kizka~\	hiMsAyAm
10.2008	waNka~	saMvaraRe
10.2009	aNKa~	viloqane
10.2010	liNga~	gatO
10.2011	aGa~	gatO
10.2012	laNGa~	gatO
10.2013	raNGa~	
10.2014	juYca~	BAzAyAm
10.2015	Kaca~	gatO
10.2016	mfca~	hiMsAyAm
10.2017	BaYja~	BAzAyAm
10.2018	kzaYja~	gatO
10.2019	laYja~	
10.2020	maYja~	
10.2021	miYja~	BAzAyAm
10.2022	muja~	Sabde
10.2023	muYja~	Sabde
10.2024	oja~	
10.2025	piYja~	
10.2026	SiYja~\	BAzAyAm
10.2027	vaja~	gatO
10.2028	vIja~	
10.2029	awwa~	
10.2030	BaRwa~	
10.2031	Bawa~	DAraRe
10.2032	buwa~	hiMsAyAm
10.2033	cuRwa~	Cedane
10.2034	GaRwa~	BAzAyAm
10.2035	kawwa~	saMvaraRe
10.2036	maRwa~	karaRe
10.2037	puRwa~	BAzAyAm
10.2038	sawa~	
10.2039	sAwa~	karaRe
10.2040	Sawa~\	
10.2041	sawwa~	hiMsAyAm
10.2042	sniwa~	gatO
10.2043	sPawa~	
10.2044	sPuRwa~	
10.2045	sPuwwa~	anAdare
10.2046	vaRwa~	viBAge
10.2047	vuRwa~	hiMsAyAm
10.2048	cuRWa~	hiMsAyAm
10.2049	guRWa~	saMvaraRe
10.2050	kaRWa~	
10.2051	kuRWa~	
10.2052	luWa~	hiMsAyAm
10.2053	saWa~	
10.2054	SuRWa~	
10.2055	SvaRWa~	
10.2056	BaRqa~	
10.2057	caRqa~\	
10.2058	cuRqa~	Cedane
10.2059	gaqa~	saMvaraRe
10.2060	guRqa~	saMvaraRe
10.2061	kaRqa~	viBAge
10.2062	KaRqa~	Cedane
10.2063	Koqa~	
10.2064	kruqa~	
10.2065	kUqa~	dAhe
10.2066	kuRqa~^	dAhe
10.2067	KuRqa~	Bedane
10.2068	lAqa~	kzepe
10.2069	laRqa~	kzepe
10.2070	mfqa~	
10.2071	naqa~	patane
10.2072	olaRqa~	kzepe
10.2073	paRqa~	gatO
10.2074	piRqa~	saNGAte
10.2075	sPaRqa~	hasane
10.2076	sPuRqa~	
10.2077	vaRqa~	viBAge
10.2078	vrIqa~	
10.2079	cURa~	
10.2080	pURa~	
10.2081	raRa~	gatO
10.2082	SaRa~	dAne
10.2083	cfta~	banDane
10.2084	cinta~	cintAyAm
10.2085	kIrta~^	karaRe
10.2086	vasta~\	hiMsAyAm
10.2087	panTa~	gatO
10.2088	Canda~	
10.2089	gUrda~	
10.2090	larda~	
10.2091	minda~	vfdDO
10.2092	sUda~^	
10.2093	bunDa~	banDane
10.2094	gUrDa~	stutO
10.2095	skanDa~	
10.2096	dAna~^	Cedane
10.2097	jana~^	
10.2098	campa~	
10.2099	Campa~	gatO
10.2100	dimpa~\	
10.2101	kUpa~	
10.2102	kzampa~	DAraRe
10.2103	qampa~\	
10.2104	qimpa~^	kzepe
10.2105	stepa~	kzaraRe
10.2106	stUpa~	
10.2107	wipa~	darSane
10.2108	cIba~	darSane
10.2109	cumba~	hiMsAyAm
10.2110	klIba~\	
10.2111	kumba~	saMvaraRe
10.2112	lumba~	
10.2113	qamba~	kzepe
10.2114	Samba~	gatO
10.2115	tumba~	ardane
10.2116	dimBa~^	
10.2117	qamBa~\	
10.2118	qimBa~^	kzepe
10.2119	sama~	
10.2120	stama~	
10.2121	cUra~	dAhe
10.2122	Gara~	darSane
10.2123	kartra~	
10.2124	kundra~	
10.2125	mantra~^	BAzAyAm
10.2126	yantra~	banDane
10.2127	Cala~	
10.2128	Gola~	viloqane
10.2129	jula~	
10.2130	mala~	grahaRe
10.2131	pela~	gatO
10.2132	Sala~\	gatO
10.2133	SAla~\	dIptO
10.2134	tUla~	darSane
10.2135	carva~	
10.2136	kava~^	
10.2137	purva~	pUraRe
10.2138	Sulva~	
10.2139	aMSa~^	viBAge
10.2140	BfMSa~	BAzAyAm
10.2141	daMSa~^	
10.2142	kuMSa~	BAzAyAm
10.2143	laSa~	
10.2144	paMSa~	Bedane
10.2145	ruMSa~	BAzAyAm
10.2146	laza~	
10.2147	mfkza~	
10.2148	mlakza~	Cedane
10.2149	pruza~^	secane
10.2150	pyuza~	
10.2151	rUza~	
10.2152	vekza~	darSane
10.2153	vyuza~	dAhe
10.2154	daMsa~^	
10.2155	daMsa~\	Bedane
10.2156	hiMsa~	hiMsAyAm
10.2157	jaMsa~	rakzaRe
10.2158	knaMsa~	
10.2159	kuMsa~	BAzAyAm
10.2160	paMsa~	Bedane
10.2161	piMsa~	BAzAyAm
10.2162	pusa~	
10.2163	taMsa~	gatO
10.2164	traMsa~	BAzAyAm
10.2165	vrUsa~	hiMsAyAm
10.2166	aMha~	gatO
10.2167	bfMha~	Sabde
10.2168	daMha~	dIptO
10.2169	gaha~	
10.2170	maMha~^	dAne
10.2171	raMha~	
10.2172	saha~^	
10.2173	sniha~	
10.2174	valha~	
10.2175	varha~	BAzAyAm
